pozitie,url,angajator,detalii,publicat_in,expira_in,judet,url_judet,tip,updates
"muncitor calificat III bucătar, Muncitori necalificați",https://posturi.gov.ro/anunt/muncitor-calificat-iii-bucatar-muncitori-necalificati/,"Institutul de Pneumoftiziologie „Marius Nasta”, București","Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  23/09/2024,Bucureşti,https://posturi.gov.ro/?judet=Bucureşti,Permanent,
șef serviciu la Serviciu Bloc Alimentar,https://posturi.gov.ro/anunt/sef-serviciu-la-serviciu-bloc-alimentar/,Spitalul Județean de Urgență Bacău,"Funcție contractuală, Instituții județene, Funcții de conducere","Publicat în: 9 septembrie,2024",Expiră in  20/09/2024,Bacău,https://posturi.gov.ro/?judet=Bacău,Permanent,
Îngrijitor,https://posturi.gov.ro/anunt/ingrijiror-4/,"Școala Gimnazială ""Miron Costin"" , Galați, județul Galați","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  20/09/2024,Galaţi,https://posturi.gov.ro/?judet=Galaţi,Permanent,
Bibliotecar SII,https://posturi.gov.ro/anunt/bibliotecar-sii-4/,COLEGIUL TEHNIC NR.1 VADU CRISULUI,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  16/09/2024,Bihor,https://posturi.gov.ro/?judet=Bihor,Temporar,
Ingrijitoare,https://posturi.gov.ro/anunt/ingrijitoare-451/,Gradinita nr.187,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  20/09/2024,Bucureşti,https://posturi.gov.ro/?judet=Bucureşti,Permanent,
asistent medical,https://posturi.gov.ro/anunt/asistent-medical-150/,SPITALUL CLINIC JUDETEAN DE URGENTA ARAD,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  23/09/2024,Arad,https://posturi.gov.ro/?judet=Arad,Permanent,
Muncitor calificat tr. I – lacatus mecanic,https://posturi.gov.ro/anunt/muncitor-calificat-tr-i-lacatus-mecanic-2/,UNITATEA MILITARA 02384 BUCURESTI,"Funcție contractuală, Unități militare, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  27/09/2024,Ilfov,https://posturi.gov.ro/?judet=Ilfov,Permanent,
muncitor,https://posturi.gov.ro/anunt/muncitor-222/,"Liceul Tehnologic „Cristofor Nako”, județul Timiș Sânnicolau Mare","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  20/09/2024,Timiş,https://posturi.gov.ro/?judet=Timiş,Permanent,
Muncitor calificat I,https://posturi.gov.ro/anunt/muncitor-calificat-i-106/,Agentia Nationala de Imbunatatiri Funciare - Filiala Teritoriala Olt,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  20/09/2024,Olt,https://posturi.gov.ro/?judet=Olt,Permanent,
Operator imagine I,https://posturi.gov.ro/anunt/operator-imagine-i/,Editura Hargita Nepe,"Funcție contractuală, Instituții județene, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  24/09/2024,Harghita,https://posturi.gov.ro/?judet=Harghita,Permanent,
Inspector resurse umane,https://posturi.gov.ro/anunt/inspector-resurse-umane-5/,ICDEAPA,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  20/09/2024,Galaţi,https://posturi.gov.ro/?judet=Galaţi,Permanent,
Sef serviciu,https://posturi.gov.ro/anunt/sef-serviciu-87/,Primăria Comunei Gura Șuții,"Funcție contractuală, Primării, Funcții de conducere","Publicat în: 9 septembrie,2024",Expiră in  20/09/2024,Dâmboviţa,https://posturi.gov.ro/?judet=Dâmboviţa,Permanent,
INGRIJITOR GRADINITA,https://posturi.gov.ro/anunt/ingrijitor-gradinita-32/,GRADINITA NR 230,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  20/09/2024,Bucureşti,https://posturi.gov.ro/?judet=Bucureşti,Temporar,
Sofer autosanitara II,https://posturi.gov.ro/anunt/sofer-autosanitara-ii-53/,Serviciul de Ambulanta Judetean Giurgiu,"Funcție contractuală, Instituții județene, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  20/09/2024,Giurgiu,https://posturi.gov.ro/?judet=Giurgiu,Permanent,
2 posturi șofer,https://posturi.gov.ro/anunt/2-posturi-sofer-2/,"Serviciul de Transport Public Local al Municipiului Făgăraș, județul Brașov","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  20/09/2024,Braşov,https://posturi.gov.ro/?judet=Braşov,Permanent,
Pedagog școlar,https://posturi.gov.ro/anunt/pedagog-scolar-31/,"Liceul Tehnologic „Ovid Densusianu” Călan, județul Hunedoara","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  24/09/2024,Hunedoara,https://posturi.gov.ro/?judet=Hunedoara,Permanent,
Asistent medical generalist,https://posturi.gov.ro/anunt/asistent-medical-generalist-180/,Primaria Municipiului Rădăuți,"Funcție contractuală, Primării, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  13/09/2024,Suceava,https://posturi.gov.ro/?judet=Suceava,Temporar,
"referent, iluminist scena, operator sunet, regizor scena, tehnician, electrician, economist",https://posturi.gov.ro/anunt/referent-iluminist-scena-operator-sunet-regizor-scena-tehnician-electrician-economist/,Teatrul National ”Marin Sorescu” din Craiova,"Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  20/09/2024,Dolj,https://posturi.gov.ro/?judet=Dolj,Permanent,
asistent medical generalist principal PL în cadrul Compartimentului Oftalmologie,https://posturi.gov.ro/anunt/asistent-medical-generalist-principal-pl-in-cadrul-compartimentului-oftalmologie/,"Spitalul Județean de Urgență Zalău, județul Sălaj","Funcție contractuală, Consilii județene, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  13/09/2024,Sălaj,https://posturi.gov.ro/?judet=Sălaj,Temporar,
Bibliotecar IA,https://posturi.gov.ro/anunt/bibliotecar-ia-7/,Academia Română Filiala Cluj-Napoca,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  23/09/2024,Cluj,https://posturi.gov.ro/?judet=Cluj,Permanent,
Consilier gr. IA,https://posturi.gov.ro/anunt/consilier-gr-ia-16/,Ministerul Energiei,"Funcție contractuală, Guvern și ministere, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  20/09/2024,Bucureşti,https://posturi.gov.ro/?judet=Bucureşti,Permanent,
INFORMATICIAN,https://posturi.gov.ro/anunt/informatician-147/,"Școala Gimnazială „Vasile Cîrlova”, Târgoviște, județul Dâmbovița","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  16/09/2024,Dâmboviţa,https://posturi.gov.ro/?judet=Dâmboviţa,Temporar,
Portar,https://posturi.gov.ro/anunt/portar-89/,Colegiul Tehnic Energetic Sibiu,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  19/09/2024,Sibiu,https://posturi.gov.ro/?judet=Sibiu,Permanent,
MUNCITOR CALIFICAT I – FOCHIST,https://posturi.gov.ro/anunt/muncitor-calificat-i-fochist-11/,SPITALUL CLINIC DE PSIHIATRIE DR. GHEORGHE PREDA SIBIU,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  23/09/2024,Sibiu,https://posturi.gov.ro/?judet=Sibiu,Permanent,
laborant,https://posturi.gov.ro/anunt/laborant-66/,Universitatea Babes-Bolyai,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  23/09/2024,Cluj,https://posturi.gov.ro/?judet=Cluj,Temporar,
"infirmiera, ingrijitoare, consilier juridic debutant, muncitor necalificat",https://posturi.gov.ro/anunt/infirmiera-ingrijitoare-consilier-juridic-debutant-muncitor-necalificat/,"spitalul clinic de boli infecţioase constanţa, constanţa, judeţul constanţa","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  20/09/2024,Constanţa,https://posturi.gov.ro/?judet=Constanţa,Permanent,
Informatician I S,https://posturi.gov.ro/anunt/informatician-i-s-7/,Colegiul Național Pedagogic ”Carmen Sylva” Timișoara,"Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  13/09/2024,Timiş,https://posturi.gov.ro/?judet=Timiş,Temporar,
Șofer microbuz școlar,https://posturi.gov.ro/anunt/sofer-microbuz-scolar-155/,"ȘCOALA GIMNAZIALĂ, COMUNA LUNGEȘTI, JUDEȚUL VÂLCEA","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  24/09/2024,Vâlcea,https://posturi.gov.ro/?judet=Vâlcea,Permanent,
muncitor calificat,https://posturi.gov.ro/anunt/muncitor-calificat-271/,"  Primăria comunei Doljești,  Doljești,  județul Neamț","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  23/09/2024,Neamţ,https://posturi.gov.ro/?judet=Neamţ,Permanent,
"1 Tehnician IA – SSP, 1 Muncitor calificat IV – SSP , 1 Muncitor calificat IV – IP",https://posturi.gov.ro/anunt/1-tehnician-ia-ssp-1-muncitor-calificat-iv-ssp-1-muncitor-calificat-iv-ip/,Serviciul Municipal de Utilitati Publice,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  20/09/2024,Bacău,https://posturi.gov.ro/?judet=Bacău,Permanent,
