_row_id,event_type,judet,uat,data,lat,long,fond_cinegetic,numar_raport,nr_identificare,echipa_interventie,sex_urs,descriere_eveniment,metoda_interventie,adaugat_de,coord_status
40_alungare,alungare,Argeș,RUCĂR,,45.442788,25.174700,RUCAR 22,1501046,,"Jandarmerie, Primarie, Fond cinegetic",Femela cu pui,"Ursoaica cu 2 pui a patruns in curtea unei case din intravilanul comunei Rucar. Echipa de interventie a vazut exemplarele de urs, s-au folosit mijloace acustice si luminoase pentru alungare.vazut",Alungat,Petruta Ghica,swapped
41_alungare,alungare,Argeș,RUCĂR,,45.398638,25.163759,RUCAR 22,1501115,,"Jandarmerie, Primarie, Fond cinegetic",Mascul,In jurul locuintei din intarvilanul localitatii Rucar a fost semnalata prezenta unui exemplar de urs. Echipa de interventie a folosit mijloace acustice si luminoase pentru alungare.,Alungat,Petruta Ghica,swapped
42_alungare,alungare,Vrancea,DUMITRIŢA,,,,BUDAC 27,,,"Plt. Adj. ISJ BN,  Primar -  UAT Dumitrița,  Medic veterinar împuternicit- CMV Satu Nou",Mascul,"Un urs a atacat și omorât un porc. Evenimentul s-a petrecut în jurul dimineții, in intravilanul localității Budacu de Sus , porcul a fost luat din cotețul de lângă casă. Ursul a fost alungat. ISU Bistrița a transmis mesajul RO Alert .",Alungat,Nastase Crina,
43_alungare,alungare,Vrancea,DUMITRIŢA,,,,BUDAC 27,,,"Plt. Adj.  - ISJ BN,  Primar -  UAT Dumitrița, Medic veterinar împuternicit - CMV Satu Nou, Reprezentantul gestionarului AC Ursul Brun",Mascul,A fost luată măsura alungării ursului din zonă și înștiințarea populației. Evenimentul a avut loc în localitatea  Budacu de Sus . Nu au fost produse pagube.,Alungat,Nastase Crina,
44_alungare,alungare,Prahova,COMARNIC,,,,COMARNIC 24,11962/07.10.2021,,"Primar, reprez. UM 0756, paznici vanat. AVPS Campina",,Exemplar de urs pui alungat cu semnale acustice si vizuale,Alungat,Crina Popa,stereo70
45_relocare,relocare,Covasna,BIXAD,2021-08-31,46.119077,25.811172,DOBRITA ZALAN 8,1782,3576389738,"primar, paznic de vânătoare,  medic veterinar,  IJJ Covasna",Femela,"Paznicul comunal  a observat ursul rămas în captiv într-un tomberon în centrul comunei lângă sala de sport, după care a anunțat primarul. Primarul a apelat 112 în urma căruia s-a întrunit comisia de intervenție format din primar, medic veterinar, paznic de vânătoare și echipajul de jandarmi. Ursul a fost tranchilizat de către medicul veterinar, a fost scos din tomberon, cipat și întrodus în cușca metalică apoi transportat și relocat pe fondul de vânătoare nr. 8 Dobrița Zălan, la locul denumit Hani.",Relocat,Berde Lajos,
46_alungare,alungare,Prahova,COMARNIC,,,,COMARNIC 24,12028/08.10.2021,,"Primar, reprez. UM 0756, medic veterinar, paznici vanat. AVPS Campina",Femela cu pui,Alungat cu mijloace sonore si luminoase,Alungat,Crina Popa,stereo70
47_alungare,alungare,Prahova,COMARNIC,,,,COMARNIC 24,12086/08.10.2021,,"Primar, reprez. UM 0756, medic veterinar, paznici vanat. AVPS Campina",Mascul,"Exemplarul se afla intr-o zona unde a existat un atac, dar din cauza vegetatiei abundente actiunea a fost ingreunata, s-a facut alungare prin metode acustice si luminoase",Alungat,Crina Popa,stereo70
48_alungare,alungare,Prahova,IZVOARELE,,,,CAZACU 34,1969/10.10.2021,,"reprezentant UAT, reprez. UM 0756, paznic vanat. AJVPS Prahova",Mascul,Alungare prin diverse mijloace acustice si luminoase,Alungat,Crina Popa,stereo70
49_alungare,alungare,Prahova,COMARNIC,,,,COMARNIC 24,12088/11.10.2021,,"Primar, reprez. UM 0756, medic veterinar, paznici vanat. AVPS Campina",Mascul,Alungare prin metode sonore si cu fascicule luminoase,Alungat,Crina Popa,stereo70
50_alungare,alungare,Prahova,COMARNIC,,,,COMARNIC 24,12090/11.10.2021,,"Primar, reprez. UM 0756, medic veterinar, paznici vanat. AVPS Campina",Mascul,Alungare prin metode sonore si cu fascicule luminoase,Alungat,Crina Popa,stereo70
51_alungare,alungare,Argeș,RUCĂR,,45.379211,25.168286,RUCAR 22,1501260 din 11.10.2021,,"Jandarmerie, Primărie, gestionar FC",,Ursul nu se afla în zona sesizată. S-a efectuat patrulare cu mijloace acustice și luminoase.,Alungat,Marius Dumitru,
